ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
10,A Man Called White: The Autobiography of Walter White,"First published in 1948, A Man Called White is the autobiography of the famous civil rights activist Walter White during his first thirty years of service to the National Association for the Advancement of Colored People. White joined the NAACP in 1918 and served as its executive secretary from 1931 until his death in 1955. His recollections tell not only of his personal life, but amount to an insider's history of the association's first decades.Although an African American, White was fair-skinned, blond-haired, and blue-eyed. His ability to pass as a white man allowed him--at great personal risk--to gather important information regarding lynchings, disfranchisement, and discrimination. Much of A Man Called White recounts his infiltration of the country's white-racist power structure and the numerous legal battles fought by the NAACP that were aided by his daring efforts. Penetrating and detailed, this autobiography provides an important account of crucial events in the development of race relations before 1950--from the trial of the ""Scottsboro Boys"" to an investigation of the treatment of African American servicemen in World War II, from the struggle against the all-white primaries in the South to court decisions--at all levels--on equal education.",0820316989,9780820316987,392,Walter Francis White,Andrew Young, ,3.95,21,2,University of Georgia Press,February 1st 1995,Paperback,English,1009-1629320.A_Man_Called_White.html
11,Call Me Anna: The Autobiography of Patty Duke,"The Star--The public saw her as a gifted child star: the youngest actor to win an Oscar for her role as Helen Keller in The Miracle Worker and the youngest actor to have a prime-time television series bearing her own name. The Nightmare--What the public did not see was Anna Marie Duke, a young girl whose life changed forever at age seven when tyrannical mangers stripped her of nearly all that was familiar, beginning with her name. She was deprived of family and friends. Her every word was programmed, her every action monitored and criticized. She was fed liquor and prescription drugs, taught to lie to get work, and relentlessly drilled to win roles. The Legend--Out of this nightmare emerged Patty Duke, a show business legend still searching for the child, Anna. She won three Emmy Awards and divorced three husbands. A starring role in Valley of the Dolls nearly ruined her career. She was notorious for wild spending sprees, turbulent liaisons, and an uncontrollable temper. Until a long hidden illness was diagnosed, and her amazing recovery recovery began. The Triumph-- Call Me Anna is an American success story that grew out of a bizarre and desperate struggle for survival. A harrowing, ultimately triumphant story told by Patty Duke herself--wife, mother, political activist, President of the Screen Actors Guild, and at last, a happy, fulfilled woman whose miracle is her own life.",0553272055,9780553272055,311,Patty Duke,Kenneth Turan, ,3.86,2205,61,Bantam,May 1st 1988,Paperback,English,101-213548.Call_Me_Anna.html
12,Living My Life: An Autobiography of Emma Goldman.,"Anarchist, journalist, drama critic, advocate of birth control and free love, Emma Goldman was the most famous-and notorious-woman in the early twentieth century. This abridged version of her two-volume autobiography takes her from her birthplace in czarist Russia to the socialist enclaves of Manhattan's Lower East Side. Against a dramatic backdrop of political argument, show trials, imprisonment, and tempestuous romances, Goldman chronicles the epoch that she helped shape: the reform movements of the Progressive Era, the early years of and later disillusionment with Lenin's Bolshevik experiment, and more. Sounding a call still heard today, Living My Life is a riveting account of political ferment and ideological turbulence.",0879050969,9780879050962,993,Emma Goldman, , ,4.29,992,76,G.M. Smith,July 1st 1983,Paperback,English,1010-51704.Living_My_Life.html
13,Chasing the Wind: The Autobiography of Steve Fossett,"As a world record holder in ballooning, speed sailing, and aviation, Steve Fossett was the pinnacle of extreme sporting achievements. His adventurous spirit continually inspired his fellow competitors and sports aficionados, and attracted the curiosity of the world. In 2005, Fossett made the first solo, non-stop, non-refueled circumnavigation of the world at the helm of what has been described as ""a fuel tank with room for one""—the Virgin Atlantic Global Flyer. But what made someone like Steve give up a secure, well-paid job in the financial sector for the romantic, yet increasingly dangerous, world of the adventurer? He achieved the first balloon crossings of Asia, Africa, Europe, and South America; the first ocean crossings of the South Atlantic, South Pacific, and Indian Oceans; and the first solo balloon flight round the world—a milestone in aviation history. And he didn't just take on the air. The most-successful speed sailor in the history of sailing, he also completed premier endurance sports events, including the Iditarod and Ironman Triathlon. In this dynamic autobiography, Steve Fossett shared his inspirational stories and candidly recounted the milestones, challenges, and victories that made up his much-heralded career and paved the path to his numerous world records.",1852272341,9781852272340,256,Steve Fossett, , ,4.06,17,2,Virgin Books,October 1st 2006,Hardcover,English,1011-1866442.Chasing_the_Wind.html
14,Double Exposure: A Twin Autobiography, ,1258082845,9781258082840,398,Gloria Vanderbilt,Thelma Furness, ,3.92,13,3,Literary Licensin,August 1st 2011,Hardcover,English,1012-12723728-double-exposure.html
15,Good Vibrations: My Autobiography,"The autobiography of Evelyn Glennie, the world's first full-time virtuoso percussionist who, since the age of 12, has been profoundly deaf. It describes her upbringing on a remote Scottish farm, her childhood battles against being sent to a school for the deaf and the initial reluctance of the Royal Academy of Music even to interview her. After three outstanding years as a student, culminating in being awarded the prestigious Shell/LSO Gold Medal for Percussion and Piano, we are taken to her triumphant entry on to the professional music stage, worldwide tours, the excitement of recording her first album, and the honour of a solo concert and the 1989 Prom Season.",0099851202,9780099851202,246,Evelyn Glennie, , ,4.22,9,1,Arrow Books Ltd,September 27th 1992,Paperback,English,1013-2873631-good-vibrations.html
16,In Search of Mind: Essays in Autobiography, ,0060151919,9780060151911,306,Jerome S. Bruner, , ,4.00,11,2,HarperCollins Publishers,October 28th 1983,Hardcover,English,1014-2091757.In_Search_of_Mind.html
17,Life in the Jungle: My Autobiography, ,0340739150,9780340739150,304,Michael Heseltine, , ,2.79,19,3,Hodder & Stoughton,September 5th 2000,Hardcover,English,1015-1937850.Life_in_the_Jungle.html
18,Minnie Pearl: An Autobiography, ,0671229141,9780671229146,256,Minnie Pearl,Joan Dew, ,4.33,18,4,Simon & Schuster,January 1st 1980,Unknown Binding,English,1016-1888471.Minnie_Pearl.html
19,Autobiography of St. Gemma Galgani,"Saint Gemma began writing her autobiography on February 17, 1901 at the direction of her confessor, Fr. Germano. She completed it in May, 1901, two years before her death on April 11, 1903. The manuscript copy, a spiritual testament, written in Gemma's own hand, is on display in Saints John and Paul Basilica in Rome. -- Copied from Amazon.com",, ,70,Gemma Galgani,William Browning, ,4.79,14,1,Passionist Sisters,1955,Kindle Edition,English,1017-15813663-autobiography-of-st-gemma-galgani.html
20,Mostly on the Edge: An Autobiography,"He left school at fifteen to work as a reporter and wound up, just a few years later, as associate editor at Newsweek. He helped William F. Buckley Jr. found the National Review, worked closely with Joseph McCarthy, and became chief speechwriter for Barry Goldwater. But true to a conscience that caused him to question the claims and authority of others, Hess eventually rejected conservatism and embraced the libertarian politics of the New Left. He dabbled with drugs, rode motorcycles, worked with the Black Panthers, got arrested while protesting the war in Viet Nam, and published an article in Playboy that defined libertarianism and ignited a national debate. As an anti-Communist he cooperated with the FBI, but as a libertarian he fought the IRS until he was nearly destitute. Whatever his political leanings, he always despised conceit, exploded intolerance, and embraced life to the fullest. He was a man who traveled in influential circles, often close to power, but, in his own words, ""mostly on the edge."" Karl Hess participated in many of the defining events of 20th-century America, a self-taught boy who became a self-made journalist. Mostly on the Edge chronicles the life education of Hess, who became a defiant tester of the prevailing ideas of each decade. He lived by trial and error, and was always willing to acknowledge his mistakes. Like Franklin and Thoreau, Hess hoped to wake up America by questioning the moral majority, fighting the Kafkaesque intrusions of government, and encouraging his family, friends, and highly influential colleagues to think for themselves. Hess provides eyewitness accounts, unique personal observations, startling and valuable insights on leadership and dissent, and, in the end, leaves behind a clear path to realizing the dream of freedom.",1573926876,9781573926874,409,Karl Hess, , ,4.58,12,2,Prometheus Books,April 1st 1999,Hardcover,English,1018-1752875.Mostly_on_the_Edge.html
21,Uncovered: The Autobiography of Pat Cash, ,1903267080,9781903267080,333,Pat Cash, , ,3.24,17,2,Greenwater Publishing,June 27th 2002,Hardcover,English,1019-345127.Uncovered.html
22,"Mad, Bad & Dangerous to Know: The Autobiography","Ranulph Fiennes has traveled to the most dangerous and inaccessible places on earth. In the process he nearly died on several occasions, lost nearly half his fingers to frostbite, and raised millions for charity. He discovered the lost city of Ubar in Oman and attempted to walk solo and unsupported to the South Pole. He was the first man to reach both poles by surface travel and the first to cross the Antarctic Continent unsupported. In 1993, Her Majesty the Queen awarded him the Order of the British Empire for ""human endeavor and charitable services."" An elite soldier, an athlete, a mountaineer, and a renowned explorer, Fiennes describes here in his own words his incredible journey through life.",0340951680,9780340951682,416,Ranulph Fiennes, , ,4.08,1007,75,Hodder & Stoughton,September 20th 2007,Hardcover,English,102-2060190.Mad_Bad_Dangerous_to_Know.html
23,Journey Continued: An Autobiography, ,0020359551,9780020359555,308,Alan Paton, , ,3.50,14,2,Collier Books,January 1st 1990,Paperback,English,1020-2080219.Journey_Continued.html
24,Journey Continued: An Autobiography, ,0020359551,9780020359555,308,Alan Paton, , ,3.50,14,2,Collier Books,January 1st 1990,Paperback,English,1021-2080219.Journey_Continued.html
25,Strange experience;: The autobiography of a hexenmeister, ,0138509662,9780138509668,355,Lee R Gandee, , ,4.12,16,4,Prentice-Hall,January 1st 1971,Unknown Binding, ,1022-2733188-strange-experience.html
26,William Barclay: A Spiritual Autobiography,"One of the many pleasures of A SPIRITUAL AUTOBIOGRAPHY is meeting and understanding the man who has led his passion for life lead him to the top, as an internationally respected theologian and teacher. With warmth and wit, William Barclay reflects on his upbringing, education, and career.",0802816037,9780802834645,122,William Barclay, , ,3.22,9,1,Eerdmans,January 28th 1975,Hardcover,English,1023-3582365-william-barclay.html
27,Second Chance: The Autobiography,"Mark Todd's eventing career is the stuff of legend and encompasses one of the greatest sporting comebacks of all time. When he 'retired' from competing in eventing in 2000, he had already been named 'Rider of the Century' for his natural empathy with a horse and his extraordinary success, which included back-to-back Olympic gold medals, five Burghley wins and three Badminton victories. The story of his progress from dairy farmer to world renowned sportsman is told with typically laid-back humor, but it reveals the fierce determination, discipline, and personal sacrifice that lies behind Todd's calm exterior.",1409143201,9781409143208,288,Mark Todd, , ,3.89,19,2,Orion Publishing,April 1st 2012,Paperback,English,1024-14325911-second-chance.html
28,"To the Stars: The Autobiography of George Takei, Star Trek's Mr. Sulu","This is the autobiography of one of Star Trek's most popular stars, George Takei. It tells of his triumph over adversity and of his huge success, despite an inauspicious start in a wartime US Asian relocation camp. In his lifetime, he has become an actor, a successful businessman, a writer, and a man deeply involved in politics and the democratic process. His story also includes his early days as an actor when he had brushes with greats like Alec Guinness, Burt Lancaster and Bruce Lee, as well as his first meeting with a writer/producer named Gene Roddenberry. The story continues with his days as Mr Sulu on Star Trek, with tales of what really went on behind the scenes, and a look at the production of the original TV series and the feature films.",0671890085,9780671890087,352,George Takei, , ,3.86,607,76,Simon & Schuster Ltd,October 17th 1994,Hardcover,English,1025-1356314.To_the_Stars.html
29,Downhill All The Way: An Autobiography of the Years 1919 To 1939 (Autobiography of Leonard Woolf #4),"Leonard Woolf's recollections of his life with Virginia Woolf during the years when she wrote her major novels; also an account of the growth of the Hogarth Press, as well as portraits of Sigmund Freud, T. S. Eliot, and others. ""There is a lucid probity in Leonard Woolf's writing"" (Leon Edel, Saturday Review). Index; photographs.",0156261456,9780156261456,264,Leonard Woolf, , ,3.68,41,7,Mariner Books,October 18th 1989,Paperback,English,1026-18851.Downhill_All_The_Way.html
30,"Deliverance from Error: Five Key Texts Including His Spiritual Autobiography, al-Munqidh min al-Dalal","This text has long been recognized as not only an Islamic classic, but also as a great spiritual autobiography of one of the world's greatest religious thinkers. It is the narrative of how one dedicated seeker of true knowledge and salvation, having probed various systems of thought and differing paths of learning and enlightenment, discovered the peace of the inner life and discipline of mystical spirituality.",1887752277,9781887752275,334,أبو حامد الغزالي,R.J. McCarthy,Ilse Lichtenstadter,4.10,1077,169,Fons Vitae,January 1st 2004,Paperback,English,1027-471717.Deliverance_from_Error.html
31,Hayden: An Autobiography,"Bill Hayden is widely considered to be the best man never to have become Prime Minister of Australia. His is the archetypal Aussie battler's story. The son of working class Queensland parents, he was no stranger to difficult times and economic hardship. After beginning his working life as a policeman, he went on to gain a higher education by external studies, while working for the Labor Party and policies in which he fervently believed. His highest aspiration, to become the country's leader, was surrendered on the day the 1983 elections were called, when he handed over the Labor Leadership to Bob Hawke.",020718769X,9780207187698,0,Bill Hayden, , ,3.83,6,0, , , , ,1028-5939424-hayden.html
32,Autobiography of a Marguerite,"Poetry. Autobiography of a Marguerite is an innovative autobiography about illness, family dysfunction, and identity, and how they can shape one another. The narrator struggles with the effects of her auto-immune illness, and struggles to separate herself from her troubled mother. ""In this profound, book-length poem, Zarah Butcher-McGunnigle undoes the self right back to the nucleus and explores an extraordinary event in her life: an anonymous illness that swamps her and the lives of her ill-at-ease family. A mother who is lean with her cooking, a philandering father, and a narrator with ever swelling wrists and limbs. Butcher-McGunnigle's poetry evokes Anne Carson and Thalia Field. It is original, startling writing."" - Sonja Yelich. ""Autobiography of a Marguerite is a grand achievement. The writing goes to the aching heart of disconnection and of longing for repair. It's obsessive and relentless, as befits the theme, circling and re-circling the fragmented self, drawing the pieces together. Butcher-McGunnigle has created a crooked beauty out of shards."" - Sue Wootton, Takahe Magazine",, ,94,Zarah Butcher-McGunnigle, , ,4.57,7,2,Hue & Cry Press,June 2014,Paperback,English,1029-22470821-autobiography-of-a-marguerite.html
33,Autobiography of a Spiritually Incorrect Mystic,"An indispensable work for understanding the life and teachings of one of the most unusual mystics and philosophers of our time. Ten years have past since, in the words of his attending physician, Osho prepared for his departure from the body that had served him for fifty-nine years ""as calmly as though he were packing for a weekend in the country."" This volume is recognition that the time has come to provide a historical and biographical context for understanding Osho and his work. Who was this man, known as the Sex Guru, the ""self-appointed bhagwan "" (Rajneesh), the Rolls-Royce Guru, the Rich Man's Guru, and simply the Master? Drawn from nearly five thousand hours of Osho's recorded talks, this is the story of his youth and education, his life as a professor of philosophy and years of travel teaching the importance of meditation, and the true legacy he sought to leave behind: a religionless religion centered on individual awareness and responsibility and the teaching of ""Zorba the Buddha,"" a celebration of the whole human being.",0312280718,9780312280710,336,Osho, , ,4.31,562,29,St. Martin's Griffin,June 9th 2001,Paperback,,103-97012.Autobiography_of_a_Spiritually_Incorrect_Mystic.html
34,Beginning Again: An Autobiography of The Years 1911 to 1918 (Autobiography of Leonard Woolf #3),"The author's account of the events of World War I and also a description of the origin of the Bloomsbury Group, the founding of the Hogarth Press, and the author's marriage to Virginia Stephen. ""To write this masterly account is a severe test of courage and honesty...it raises the book to greatness"" (The Nation). Index; photographs.",0156116804,9780156116800,263,Leonard Woolf, , ,3.71,42,6,Mariner Books,October 18th 1989,Paperback,English,1030-18834.Beginning_Again.html
35,The Three Mountains: The Autobiography of Samael Aun Weor,"For the first time in the history of humanity, the path of Initiation has been explained from beginning to end. In this work Samael Aun Weor explains the essential outline of the Direct Path to the realization of the Being. The Direct Path is the only way to reach the heights of spiritual development, and was indicated with precision by Jesus of Nazareth: ""Enter by the narrow gate; for the gate is wide and the way is easy that leads to destruction, and those who enter by it are many. For the gate is narrow and the way is hard that leads to life, and those who find it are few."" - Matthew 7:13 ""Without wanting to hurt delicate susceptibilities in any way, we must emphasize the basic idea that a variety of venerable institutions coexist within the cultural-spiritual environment of contemporary humanity that very sincerely believe they know the Secret Path. Nonetheless, they do not know it. In all the books of ancient times, the Secret Path is cited. This Path is quoted and mentioned in many verses; yet people do not know it. Beloved reader, to unveil, to show and to teach the esoteric path that leads to the Final Liberation is certainly the purpose of this book that you have in your hands. This is one of the books of the Fifth Gospel. The great German initiate Goethe wrote, ""Every theory is gray and only the tree of the golden fruits of life is green."" Certainly, what we deliver in this new book are transcendental lived experiences. It is what we have verified, what we have directly experienced."" - Samael Aun Weor",1934206288,9781934206287,415,Samael Aun Weor, , ,4.70,40,1,Thelema Press,January 1st 2007,Paperback,English,1031-4904417-the-three-mountains.html
36,My Last Sigh: The Autobiography of Luis Buñuel,"A provocative memoir from Luis Buñuel, the Academy Award winning creator of some of modern cinema's most important films, from Un Chien Andalou to The Discreet Charm of the Bourgeoisie . Luis Buñuel’s films have the power to shock, inspire, and reinvent our world. Now, in a memoir that carries all the surrealism and subversion of his cinema, Buñuel turns his artistic gaze inward. In swift and generous prose, Buñuel traces the surprising contours of his life, from the Good Friday drumbeats of his childhood to the dreams that inspired his most famous films to his turbulent friendships with Federico García Lorca and Salvador Dalí. His personal narratives also encompass the pressing political issues of his time, many of which still haunt us today—the specter of fascism, the culture wars, the nuclear bomb. Filled with film trivia, framed by Buñuel’s intellect and wit, this is essential reading for fans of cinema and for anyone who has ever wanted to see the world through a surrealist’s eyes.",0345803701,9780345803702,288,Luis Buñuel, , ,4.34,1302,99,Vintage,March 26th 2013,Paperback,English,1032-15797360-my-last-sigh.html
37,X Ray: The Unauthorized Autobiography,"Tales of London and the swinging sixties rock scene evolve as Ray Davies, lead singer and songwriter with The Kinks, reveals his life and times. Carnaby Street, Top of the Pops, the Cavern Club, The Beatles, The Rolling Stones, The Who, and other fixtures of the period feature in this narrative.",0715637517,9780715637517,419,Ray Davies, , ,4.06,16,4,Overlook,February 1st 2008,Paperback,English,1033-7979266-x-ray.html
