b-1	12 Rounds 3: Lockdown
b-86	The Chronicles of Narnia: The Lion The Witch and The Wardrobe
b-87	The Citizen
b-88	Clash of the Empires
b-89	Cloud Atlas
b-90	The Cold Light of Day
b-91	The Collection
b-92	Come Morning
b-93	Shakespeare's Globe Theatre: The Comedy Of Errors
b-94	Compliance
b-95	Contraband
b-96	Cowgirls n' Angels
b-97	Crave
b-98	Crazy Eyes
b-99	Crooked Arrows
b-100	Damsels in Distress
b-101	The Dark Knight Rises
b-102	Dark Shadows
b-103	Dark Tide
b-104	The Truth (A Dark Truth)
b-105	Darling Companion
b-106	10 Days in a Madhouse
b-107	Dead Before Dawn
b-108	Deadfall
b-109	Deadline
b-110	Death Race 3: Inferno (Unrated)
b-111	Deep Dark Canyon
b-112	Detachment
b-113	Detention Of The Dead
b-114	The Devil Inside
b-115	Diary of a Wimpy Kid: Dog Days
b-116	The Dictator
b-117	Django Unchained
b-118	Don't Change the Subject
b-119	Dracula Reborn
b-120	Dragon Eyes
b-121	Dysfunctional Friends
b-122	Eden
b-123	Elevator
b-124	The End of Love
b-125	End of Watch
b-126	Evidence
b-127	Excision
b-128	Exit Strategy
b-129	The Expendables 2
b-130	Extracted
b-131	Filly Brown
b-132	Finding Nemo
b-133	Fire With Fire
b-134	The First Time
b-135	The Fitzgerald Family Christmas
b-136	Flicka: Country Pride
b-137	Flight World War II
b-138	For a Good Time Call...
b-139	For Ellen
b-140	The Forger
b-141	For the Love of Money
b-142	Forgetting The Girl
b-143	Fortress
b-144	Frankenweenie
b-145	Friends With Kids
b-146	Fun Size
b-147	Gambit
b-148	Gayby
b-149	Ghost Rider: Spirit of Vengeance
b-150	Girl In Progress
b-151	God Bless America
b-152	Gone Doggy Gone
b-153	Tyler Perry's Good Deeds
b-154	The Grey
b-155	The Guilt Trip
b-156	Haywire
b-157	Hello I Must Be Going
b-158	Here Comes the Boom
b-160	High School
b-161	Hit & Run
b-162	Hope Springs
b-163	Hotel Transylvania 2
b-164	House at the End of the Street
b-165	The Hunger Games
b-167	Ice Age: Continental Drift
b-168	Jack Reacher
b-169	Jeff Who Lives at Home
b-170	John Carter
b-171	Journey 2: The Mysterious Island
b-172	Joyful Noise
b-173	Katy Perry: Part of Me
b-174	Keep the Lights On
b-175	Killer Joe
b-176	A Late Quartet
b-178	Life of Pi
b-179	Liberal Arts
b-180	Lincoln
b-181	A Little Bit Of Heaven
b-182	Lockout
b-183	Lola Versus
b-184	The Loneliest Planet
b-185	Looper
b-186	Dr Seuss' The Lorax
b-187	The Lucky One
b-188	Magic Mike XXL
b-189	The Magic of Belle Isle
b-190	Man on a Ledge
b-191	The Man With the Iron Fists
b-192	Marley
b-193	Martial Arts: Secrets of the Asian Masters
b-194	Men in Black III
b-195	Mirror Mirror
b-196	Monsters Inc.
b-197	Moonrise Kingdom
b-198	Nobody Walks
b-199	The Odd Life of Timothy Green
b-200	One for the Money
b-201	The Oogieloves in The Big Balloon Adventure
b-202	The Oranges
b-203	The Paperboy
b-204	Paranormal Activity 4
b-205	ParaNorman
b-206	Parental Guidance
b-207	Peace Love & Misunderstanding
b-208	People Like Us
b-209	The Perks of Being a Wallflower
b-210	Pitch Perfect 2
b-211	The Possession
b-212	Premium Rush
b-213	Project X
b-214	Price Check
b-215	Prometheus
b-216	Puppet Master X: Axis Rising
b-217	The Queen of Versailles
b-218	Rampart
b-219	The Raven
b-220	Red Dawn
b-221	Red Hook Summer
b-222	Red Lights
b-223	Red Tails
b-224	Resident Evil: Retribution
b-225	Rise of the Guardians
b-226	Robot & Frank
b-227	Rock of Ages
b-228	Ruby Sparks
b-229	Safelight
b-230	Safe House
b-231	Safety Not Guaranteed
b-232	Samsara
b-233	Savages
b-234	Seeking a Friend for the End of the World
b-235	The Sessions
b-236	Silent Hill: Revelation
b-237	Silent House
b-238	Silver Linings Playbook
b-239	Sinister 2
b-240	Sleepwalk With Me
b-241	Smashed
b-242	Snow White and the Huntsman
b-243	Sound of My Voice
b-244	Sparkle
b-245	Star Wars: Episode I - The Phantom Menace
b-246	Step Up Revolution
b-247	Stolen
b-248	The Swan Princess Christmas
b-249	Taken 2
b-250	The Tall Man
b-251	Ted 2
b-252	Think Like a Man
b-253	This is 40
b-254	This Means War
b-255	A Thousand Words
b-256	The Three Stooges
b-257	Thunderstruck
b-258	Titanic
b-259	Total Recall
b-260	Touchback
b-261	Trouble with the Curve
b-262	Underworld Awakening
b-263	Five Hours South (Crew 2 Crew)
b-264	Virginia
b-265	The Vow
b-266	Wanderlust
b-267	Watchers of the Sky
b-268	Won't Back Down
b-269	Streams In The Desert: Words Of Life
b-270	Wrath of the Titans
b-271	Goodbye Promise
b-272	Zero Dark Thirty
b-273	127 Hours
b-274	Adventures of Power
b-275	Alice in Wonderland
b-276	All Good Things
b-277	Alpha and Omega
b-278	The American
b-279	Barry Munday
b-280	Bearcity
b-281	Big Money Rustlas
b-282	Black Swan
b-283	Blue Valentine
b-284	The Book of Eli
b-285	Bouncing Cats
b-286	The Bounty Hunter
b-287	Burying the Ex
b-288	Burlesque
b-289	Case 39
b-290	Casino Jack
b-291	Casino Jack And The United States Of Money
b-292	Conviction
b-293	Charlie St. Cloud
b-294	City Island
b-295	Clash of the Titans
b-296	The Company Men
b-297	Cop Out
b-298	Countdown to Zero
b-299	Country Strong
b-300	The Crazies
b-301	Crazy on the Outside
b-302	Cyrus
b-303	Date Night
b-304	Daybreakers
b-305	Dear John
b-306	Death at a Funeral
b-307	Despicable Me
b-308	The Devil's Carnival: Alleluia!
b-309	Diary of a Wimpy Kid
b-310	Dinner for Schmucks
b-311	Dirty Girl
b-312	Due Date
b-313	Easy A
b-314	Eat Pray Love
b-315	Edge of Darkness
b-316	The Expendables
b-317	The Extra Man
b-318	Extraordinary Measures
b-319	Fair Game
b-320	A Faster Horse
b-321	The Fighter
b-322	Flipped
b-323	For Colored Girls
b-324	Freakonomics
b-325	From Paris with Love
b-326	Frozen
b-327	Furry Vengeance
b-328	Game of Death
b-329	Get Him to the Greek
b-330	Get Low
b-331	Going the Distance
b-332	The Good Guy
b-333	The Greatest
b-334	Green Zone
b-335	Greenberg
b-336	Grown Ups
b-337	Happy Tears
b-338	Hereafter
b-339	Holy Rollers
b-340	Hot Tub Time Machine
b-341	How Do You Know
b-342	How to Train Your Dragon
b-343	Hubble 3D
b-344	Hurricane Season
b-345	Hyena
b-346	I Love You Phillip Morris
b-347	Inception
b-348	Iron Man 2
b-349	Jack Goes Boating
b-350	Jonah Hex
b-351	The Joneses
b-352	Just Wright
b-353	Kaboom
b-354	The Karate Kid
b-355	Kick-Ass
b-356	The Kids Are All Right
b-357	The Killer Inside Me
b-358	Kung Fu Killer
b-359	Knucklehead
b-360	The Last Airbender
b-361	The Last Exorcism
b-362	The Last Song
b-363	Leap Year
b-364	Legendary
b-365	Legion
b-366	Let Me In
b-367	Letters To God
b-368	Letters to Juliet
b-369	Life as We Know It
b-370	The Losers
b-371	Like Dandelion Dust
b-372	Little Fockers
b-373	Lottery Ticket
b-374	Love Ranch
b-375	Love and Other Drugs
b-376	MacGruber
b-377	Machete
b-378	Marmaduke
b-379	Marwencol
b-380	Megamind
b-381	Middle Men
b-382	Mirrors 2
b-383	Morning Glory
b-384	Mother and Child
b-385	My Soul to Take
b-386	Nanny McPhee Returns
b-387	Never Let Me Go
b-388	The Next Three Days
b-389	Night Catches Us
b-390	A Nightmare on Elm Street
b-391	The Other Guys
b-392	Our Family Wedding
b-393	Paper Man
b-394	Paranormal Activity 2
b-395	Passion Play
b-396	Percy Jackson & the Olympians: The Lightning Thief
b-397	The Perfect Game
b-398	Piranha 3-D
b-399	Please Give
b-400	Predators
b-401	Rabbit Hole
b-402	Ramona and Beezus
b-403	The Rebound
b-404	Red
b-405	Remember Me
b-406	Repo Men
b-407	Resident Evil: Afterlife
b-408	Robin Hood
b-409	The Romantics
b-410	The Runaways
b-411	Saint John of Las Vegas
b-412	Salt
b-413	Saw 3D
b-414	Secretariat
b-415	Sex and the City 2
b-416	Shrek Forever After
b-417	Shutter Island
b-418	Skyline
b-419	Small Town Saturday Night
b-420	The Social Network
b-421	Solitary Man
b-422	Somewhere
b-423	Splice
b-424	The Spy Next Door
b-425	Step Up
b-426	Stonewall
b-427	The Switch
b-428	Takers
b-429	Tangled
b-430	The Tempest
b-431	Tooth Fairy
b-432	The Town
b-433	The Tourist
b-434	Toy Story 3
b-435	Tron Legacy
b-436	True Grit
b-437	Twelve
b-438	Unstoppable
b-439	The St. Valentine's Day Massacre
b-440	Vampires Suck
b-441	Waiting for Superman
b-442	Wall Street: Money Never Sleeps
b-443	Welcome to the Rileys
b-444	What If
b-445	When in Rome
b-446	Why Did I Get Married Too
b-447	Winnebago Man
b-448	The Wolfman
b-449	Wonderful World
b-450	Yogi Bear
b-451	You Again
b-452	You Will Meet a Tall Dark Stranger
b-453	Youth in Revolt
b-454	The 11th Hour
b-455	30 Minutes or Less
b-456	35 And Ticking
b-457	50 First Dates
b-458	Abduction
b-459	The Adjustment Bureau
b-460	African Cats
b-461	Another Earth
b-462	Apollo 18
b-463	The Art of Getting By
b-464	Arthur
b-465	Arthur Christmas
b-466	Atlas Shrugged: Part II
b-467	Bad Teacher
b-468	Battle: Los Angeles
b-469	Beastly
b-470	The Beaver
b-471	Adult Beginners
b-472	A Better Life
b-473	Big Mommas: Like Father Like Son
b-474	The Big Year
b-475	Born To Be Wild
b-476	Bridesmaids
b-477	Me You and Five Bucks
b-478	Carnage
b-479	Cars 2
b-480	Cedar Rapids
b-481	The Chaperone
b-482	Colombiana
b-483	Conan the Barbarian
b-484	The Conspirator
b-485	Contagion
b-486	Courageous
b-487	Cowboys & Aliens
b-488	Crazy Stupid Love.
b-489	The Darkest Hour
b-490	Dead Stop
b-491	The Debt
b-492	The Descendants
b-493	The Dilemma
b-494	Dolphin Tale
b-495	The Double
b-496	Dream House
b-497	Learning To Drive
b-498	Drive Angry
b-499	The Eagle
b-500	Everything Must Go
b-501	Fast Five
b-502	Father of Invention
b-503	Fear of a Black Republican
b-504	Final Destination 5
b-505	Footloose
b-506	Friends With Benefits
b-507	Fright Night
b-508	From Prada to Nada
b-509	The Future
b-510	The Girl with the Dragon Tattoo
b-511	Gnomeo and Juliet
b-512	A Good Old Fashioned Orgy
b-513	The Good Doctor
b-514	The Green Hornet
b-515	Green Lantern
b-516	Hall Pass
b-517	The Hangover Part II
b-518	Hanna
b-519	Happy Feet Two
b-520	HappyThankYouMorePlease
b-521	The Heart Specialist
b-522	The Help
b-523	Hesher
b-524	Higher Ground
b-525	Hoodwinked Too! Hood vs Evil
b-526	Hope Bridge
b-527	Horrible Bosses
b-528	Hugo
b-529	I Am Number Four
b-530	I Melt with You
b-531	The Ides of March
b-532	Immortals
b-533	In Time
b-534	Inside Out
b-535	Insidious: Chapter 3
b-536	J. Edgar
b-537	Jack and Jill
b-538	Janie Jones
b-539	Judy Moody and the NOT Bummer Summer
b-540	Jumping the Broom
b-541	Just Go with It
b-542	Justin Bieber: Never Say Never
b-543	Kill the Irishman
b-544	Killer Elite
b-545	Kung Fu Panda 2
b-546	Larry Crowne
b-547	Life in a Day
b-548	Like Crazy
b-549	Limitless
b-550	The Lincoln Lawyer
b-551	Lucky Stiff
b-552	Machine Gun Preacher
b-553	Margaret
b-554	Margin Call
b-555	Mars Needs Moms
b-556	Martha Marcy May Marlene
b-557	The Mechanic
b-558	Midnight in Paris
b-559	Mission: Impossible Ghost Protocol
b-560	Moneyball
b-561	One Day
b-562	Monte Carlo
b-563	The Muppets
b-564	The Music Never Stopped
b-566	No Strings Attached
b-567	Our Idiot Brother
b-568	Paranormal Activity 3
b-569	Paul Blart: Mall Cop 2
b-570	Pearl Jam Twenty
b-571	Peep World
b-572	The Perfect Host
b-573	Priest
b-574	Prom
b-575	Puncture
b-576	Puss in Boots
b-577	Rango
b-578	Real Steel
b-579	Red Riding Hood
b-580	Red State
b-581	Restless
b-582	The Reunion
b-583	Quiet Riot: Well Now You're Here There's No Way Back
b-584	Rise of the Planet of the Apes
b-585	The Rite
b-586	The Roommate
b-587	The Rum Diary
b-588	Sanctum
b-589	Scream 4
b-590	Season of the Witch
b-591	Seven Days In Utopia
b-592	Shark Night 3D
b-593	The Sitter
b-594	Skateland
b-595	The Smurfs
b-596	Snow Flower And The Secret Fan
b-597	Something Borrowed
b-598	The Son of No One
b-599	Soul Surfer
b-600	Source Code
b-601	Straw Dogs
b-602	Sucker Punch
b-603	Batman v Superman: Dawn of Justice
b-604	Super 8
b-605	Take Me Home Tonight
b-606	Take Shelter
b-607	Texas Killing Fields
b-608	The Thing
b-609	Thor
b-610	The Three Musketeers
b-611	Tower Heist
b-612	The Tree of Life
b-613	Trespass
b-614	Unknown
b-615	Waiting for Forever
b-616	Warrior
b-617	Water for Elephants
b-618	Quiet Riot: Well Now You're Here There's No Way Back
b-619	We Bought a Zoo
b-620	Win Win
b-621	Winnie the Pooh
b-622	X-Men: First Class
b-623	Young Adult
b-624	Your Highness
b-625	Zookeeper
b-626	21
b-627	27 Dresses
b-628	88 Minutes
b-629	The Accidental Husband
b-630	An American Carol
b-631	American Teen
b-632	Appaloosa
b-633	August
b-634	Baby Mama
b-635	Ballast
b-636	Bangkok Dangerous
b-637	Be Kind Rewind
b-638	Bedtime Stories
b-639	Beer for My Horses
b-640	Beverly Hills Chihuahua
b-641	Body of Lies
b-642	Bolt
b-643	Burn After Reading
b-644	Cadillac Records
b-645	Changeling
b-646	Che strano chiamarsi Federico!
b-647	Choke
b-648	City of Ember
b-649	Cloverfield
b-650	College
b-651	College Road Trip
b-652	The Curious Case of Benjamin Button
b-653	The Dark Knight
b-654	The Day the Earth Stood Still
b-655	Deal
b-656	The Deal
b-657	Death Race
b-658	Deception
b-659	Defiance
b-660	Definitely Maybe
b-661	Delgo
b-662	Disaster Movie
b-663	Doomsday
b-664	Doubt
b-665	Drillbit Taylor
b-666	Eagle Eye
b-667	Elegy
b-668	The Express
b-669	The Eye
b-670	The Family That Preys
b-671	Felon
b-672	Fireflies in the Garden
b-673	Fireproof
b-674	First Sunday
b-675	Flash of Genius
b-676	The Forbidden Kingdom
b-677	Forever Strong
b-678	Forgetting Sarah Marshall
b-679	Four Christmases
b-680	Frost/Nixon
b-681	Frozen River
b-682	The Garden
b-683	Funny Games
b-684	Garden Party
b-685	Get Smart
b-686	Ghost Town
b-687	Gran Torino
b-688	Hamlet 2
b-689	Hancock
b-690	The Happening
b-691	Harold
b-692	Harold & Kumar Escape from Guantanamo Bay
b-693	The Haunting of Molly Hartley
b-694	Henry Poole Is Here
b-695	Hero Wanted
b-696	High School Musical 3: Senior Year
b-697	Horton Hears a Who!
b-698	The Hottie and the Nottie
b-699	The House Bunny
b-700	Igor
b-701	In Bruges
b-702	The Incredible Hulk
b-703	Indiana Jones and the Kingdom of the Crystal Skull
b-704	Inkheart
b-705	Iron Man
b-706	Journey to the Center of the Earth
b-707	Jumper
b-708	Kung Fu Panda 3
b-709	Lakeview Terrace
b-710	Last Chance Harvey
b-711	Leatherheads
b-712	The Love Guru
b-713	The Longshots
b-714	The Lucky Ones
b-715	Mad Money
b-716	Madagascar: Escape 2 Africa
b-717	Made of Honor
b-718	Mamma Mia!
b-719	Man on Wire
b-720	Marley & Me
b-721	Max Payne
b-722	Meet Dave
b-723	Meet The Browns
b-724	Meet the Spartans
b-725	The Midnight Meat Train
b-726	Milk
b-727	Mirrors
b-728	My Sassy Girl
b-729	Never Back Down
b-730	Nights in Rodanthe
b-731	Nothing But the Truth
b-732	Nothing Like the Holidays
b-733	One Missed Call
b-734	The Other Boleyn Girl
b-735	Over Her Dead Body
b-736	Passengers
b-737	Pathology
b-738	Pineapple Express
b-739	Pray the Devil Back to Hell
b-740	Pride and Glory
b-742	The Promotion
b-743	Proud American
b-744	Punisher: War Zone
b-745	Quantum of Solace
b-746	Quarantine
b-747	Rachel Getting Married
b-748	Rambo
b-749	The Reader
b-750	Redbelt
b-751	Religulous
b-752	Revolutionary Road
b-753	Righteous Kill
b-754	The Rocker
b-755	Role Models
b-756	The Ruins
b-757	Saw V
b-758	The Secret Life of Bees
b-759	Semi-Pro
b-760	Seven Pounds
b-761	Sex and the City
b-762	Sex Drive
b-763	Shutter Island
b-764	The Sisterhood of the Traveling Pants 2
b-765	Sleepwalking
b-766	Smart People
b-767	Soul Men
b-768	Space Chimps
b-769	Speed Racer
b-770	The Spiderwick Chronicles
b-771	Spike Island
b-772	The Spirit
b-773	Spy School (Doubting Thomas)
b-774	Step Brothers
b-775	Step Up 2 the Streets
b-776	Stop-Loss
b-777	Strange Wilderness
b-778	The Strangers
b-779	Street Kings
b-780	Superhero Movie
b-781	Swing Vote
b-782	Taken
b-783	The Tale of Despereaux
b-784	Gadaar - The Traitor
b-785	Tropic Thunder
b-786	Trouble the Water
b-787	Twilight
b-788	U2 3D
b-789	Untraceable
b-790	Valkyrie
b-791	Vantage Point
b-792	Vicky Cristina Barcelona
b-793	W.
b-794	The Wackness
b-795	Roger Waters The Wall Encore
b-796	Waltz with Bashir
b-797	Wanted
b-798	War Inc.
b-799	Welcome Home Roscoe Jenkins
b-800	Milos Forman: Co te nezabije... (Milos Forman: What doesn't kill you...)
b-801	What Happens in Vegas
b-802	What Just Happened?
b-803	Witless Protection
b-804	The Women
b-805	The Wrestler
b-806	Yes Man
b-807	Zack and Miri Make a Porno
b-808	500 Days of Summer
b-809	12 Rounds 3: Lockdown
b-810	17 Again
b-811	2012
b-812	Nine
b-813	Adam
b-814	Adventureland
b-815	Dead Like Me: Life After Death
b-816	Alien Trespass
b-817	Aliens in the Attic
b-818	All About Steve
b-819	Amelia
b-820	American Violet
b-821	Angels & Demons
b-822	The Answer Man (Arlen Faber)
b-823	Arcadia Lost
b-824	Armored
b-825	Assassination of a High School President
b-826	Astro Boy (AstroBoy)
b-827	Avatar
b-828	Away We Go
b-829	Bandslam
b-830	Battle For Terra
b-831	Beyond a Reasonable Doubt
b-832	Big Fan
b-833	The Blind Side
b-834	Boogie Town
b-835	The Box
b-836	Bride Wars
b-837	Brothers
b-838	The Brothers Bloom
b-839	Brothers at War
b-840	Bring It On: All or Nothing
b-841	C Me Dance
b-842	Carriers
b-843	Chandni Chowk To China
b-844	Disney's A Christmas Carol
b-845	Cloudy With a Chance of Meatballs
b-846	Cold Souls
b-847	The Collector
b-848	Confessions of a Shopaholic
b-849	Coraline
b-850	Couples Retreat
b-851	The Cove
b-852	Crank 2: High Voltage
b-853	Crazy Heart
b-854	The Cross
b-855	Crossing Over
b-856	Dance Flick
b-857	Did You Hear About the Morgans?
b-858	District 9
b-859	Drag Me to Hell
b-860	Dragonball Evolution
b-861	Duplicity
b-862	Echelon Conspiracy
b-863	Every Little Step
b-864	Everybody Says I'm Fine!
b-865	Extract
b-866	Fame
b-867	Fantastic Mr. Fox
b-868	2 Fast 2 Furious
b-869	Love at First Fight
b-870	The Final Destination
b-871	Fired Up
b-872	Food Inc.
b-873	Fragments
b-874	Friday the 13th
b-875	Funny People
b-876	G-Force
b-877	Gallowwalkers
b-878	Gamer
b-879	Gentlemen Broncos
b-880	Gigantic
b-881	The Girlfriend Experience
b-882	The Great Buck Howard
b-883	The Grudge 3
b-884	Halloween II
b-885	The Hangover
b-886	The Haunting in Connecticut
b-887	The Hole
b-888	Homecoming
b-889	Horrorween
b-890	The Horsemen
b-891	Hotel for Dogs
b-892	Humpday
b-893	I Can Do Bad All By Myself
b-894	I Hope They Serve Beer in Hell
b-895	The Hurt Locker
b-896	I Love You Beth Cooper
b-897	I Love You Man
b-898	Imagine That
b-899	The Imaginarium of Doctor Parnassus
b-900	The Informant
b-901	The Informers
b-902	Inglourious Basterds
b-904	Invictus
b-905	An Invisible Sign
b-906	The Invention of Lying
b-907	It Might Get Loud
b-909	Janky Promoters
b-910	Julie & Julia
b-911	Heaven Knows What
b-912	Labor Pains
b-913	Laid to Rest
b-914	Land of the Lost
b-915	The Last House on the Left
b-916	Law Abiding Citizen
b-917	Life During Wartime
b-918	The Limits of Control
b-919	Love Happens
b-920	Love N' Dancing
b-921	The Lovely Bones
b-922	Lymelife
b-923	Madea Goes to Jail
b-924	The Maiden Heist
b-925	Management
b-926	Me and Orson Welles
b-927	The Men Who Stare at Goats
b-928	The Merry Gentleman
b-929	The Messenger
b-930	Miss March
b-931	Monsters vs. Aliens
b-932	Motherhood
b-933	My Bloody Valentine
b-934	My Life in Ruins
b-935	My Sister's Keeper
b-936	My One and Only
b-937	New In Town
b-938	The Twilight Saga: New Moon
b-939	New York I Love You
b-940	Next Day Air
b-941	Nine
b-942	Ninja Assassin
b-943	Not Easily Broken
b-944	Not Forgotten
b-945	Notorious
b-946	Observe and Report
b-947	Obsessed
b-948	Old Dogs
b-950	Orphan
b-951	Pandorum
b-952	Paper Heart
b-953	Paul Blart: Mall Cop 2
b-954	A Perfect Getaway
b-955	Phoebe in Wonderland
b-956	Planet 51
b-957	Post Grad
b-958	Powder Blue
b-959	Precious: Based on the Novel Push by Sapphire
b-960	The Princess and the Frog
b-961	The Private Lives of Pippa Lee
b-962	The Proposal
b-963	Public Enemies
b-964	Push
b-965	Race to Witch Mountain
b-966	The Road
b-967	Saw VI
b-968	A Serious Man
b-969	Sherlock Holmes
b-970	Shrink
b-971	The Big Short
b-972	A Single Man
b-973	The Soloist
b-974	Sorority Row
b-975	Spread
b-976	Star Trek
b-977	State of Play
b-978	The Stepfather
b-979	Surrogates
b-980	Taking Woodstock
b-981	Tekken
b-982	Tennessee
b-983	Terminator Salvation
b-984	Tetro
b-985	Trick 'r Treat
b-986	True Adolescents
b-987	Tyson
b-988	The Ugly Truth
b-989	The Unborn
b-990	The Uninvited
b-991	Up
b-992	Up in the Air
b-993	Wah Do Dem
b-994	Watchmen
b-995	We Live in Public
b-996	What Goes Up
b-997	Whatever Works
b-998	Where the Wild Things Are
b-999	Whiteout
b-1000	Whip It
b-1001	X-Men Origins - Wolverine
b-1002	Year One
b-1003	The Young Victoria
b-1004	Zombieland
b-1005	102 Dalmatians
b-1006	28 Days
b-1007	3 Strikes
b-1008	The 6th Day
b-1009	Across the Line
b-1010	Adventures in Wild California
b-1011	All the Pretty Horses
b-1012	Almost Famous
b-1013	American Psycho
b-1014	Animal Factory
b-1015	The Art of War
b-1016	Autumn in New York
b-1017	Bait
b-1018	Bamboozled
b-1019	Battlefield Earth
b-1020	The Beach
b-1021	Beat
b-1022	Beautiful Something
b-1023	Beautiful Joe
b-1024	Bedazzled
b-1025	Before Night Falls
b-1026	Best in Show
b-1027	Big Mommas: Like Father Like Son
b-1028	The Big Tease
b-1029	Bless the Child
b-1030	Boiler Room
b-1032	Boys and Girls
b-1033	Bring It On
b-1034	Brotherly Love
b-1035	Cast Away
b-1036	Cecil B. Demented
b-1037	The Cell
b-1038	Center Stage
b-1039	Behind the Camera: The Unauthorized Story of 'Charlie's Angels'
b-1040	Cherry Falls
b-1041	Chinese Coffee
b-1042	Chocolate City
b-1043	Chuck & Buck
b-1044	The Contender
b-1045	Coyote Ugly
b-1046	The Crew
b-1047	The Crossing
b-1048	Cruel Intentions 2
b-1049	The Good Dinosaur
b-1050	Down to You
b-1051	Tcm Presents Dracula
b-1052	Drowning Mona
b-1053	Duets
b-1054	Dungeons & Dragons
b-1055	Erin Brockovich
b-1056	An Everlasting Piece
b-1057	The Eyes of Tammy Faye
b-1058	The Family Man
b-1059	Fantasia - 75th Anniversary
b-1060	Final Destination
b-1061	Finding Forrester
b-1062	The Flintstones in Viva Rock Vegas
b-1063	Frequency
b-1064	Get Carter
b-1065	The Gift
b-1066	The Girl
b-1067	Girlfight
b-1068	Gladiator
b-1069	The Golden Bowl
b-1070	Gossip
b-1071	Gone in 60 Seconds
b-1072	Gun Shy
b-1073	National Theatre Live: Hamlet Encore Screening
b-1074	Hanging Up
b-1075	Held Up
b-1076	Here on Earth
b-1077	High Fidelity
b-1078	Highlander: Endgame
b-1079	Hollow Man
b-1080	The House of Mirth
b-1082	I Dreamed of Africa
b-1083	The In Crowd
b-1084	Ivans Xtc
b-1085	Joe Gould's Secret
b-1086	Just One Night
b-1087	Keeping the Faith
b-1088	The Kid
b-1089	The Ladies Man
b-1090	The Last Producer
b-1091	Legacy
b-1092	The Legend of Bagger Vance
b-1093	Little Nicky
b-1094	The Little Vampire
b-1095	Loser
b-1096	Lost Souls
b-1097	Love and Basketball
b-1098	Lucky Numbers
b-1099	Maryam
b-1100	Maze Runner: The Scorch Trials
b-1101	Me Myself & Irene
b-1102	Meet the Parents
b-1103	Memento
b-1104	Men of Honor
b-1105	Mercy Streets
b-1106	The Million Dollar Hotel
b-1107	Miss Congeniality
b-1108	Mission to Mars
b-1109	Mission: Impossible III
b-1110	My Dog Skip
b-1111	My 5 Wives
b-1112	The Next Best Thing
b-1113	Next Friday
b-1114	Nothin' 2 Lose
b-1115	Nurse Betty
b-1116	O Brother Where Art Thou?
b-1117	The Opportunists
b-1118	The Original Kings of Comedy
b-1119	Our Song
b-1120	Panic
b-1121	Passion of Mind
b-1122	The Patriot
b-1123	Pay It Forward
b-1124	The Perfect Storm
b-1125	Picking Up the Pieces
b-1126	Pitch Black
b-1127	Pollock
b-1128	Poor White Trash
b-1129	Price of Glory
b-1130	Prince of Central Park
b-1131	Proof of Life
b-1132	Psycho Beach Party
b-1133	Quills
b-1134	Ready to Rumble
b-1135	Red Planet
b-1136	Reindeer Games (Deception)
b-1137	Remember the Titans
b-1138	The Replacements
b-1139	Requiem for a Dream
b-1140	Return to Me
b-1141	The Road to El Dorado
b-1142	Road Trip
